     2017-04-04	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	      B-A0	         O	(S1(NP(NP(NP*
           shot	        NN	      E-NP	         O	              -	      I-A0	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
         Austin	       NNP	      S-NP	     S-LOC	              -	      I-A0	         O	(NP*)))
              :	         :	         O	         O	              -	      I-A0	         O	*
              '	        ''	         O	         O	              -	      I-A0	         O	(S*
            The	        DT	      B-NP	         O	              -	      I-A0	         O	(NP*
          world	        NN	      E-NP	         O	              -	      E-A0	         O	*)
          needs	       VBZ	      S-VP	         O	          needs	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	  I-AM-PNC	       S-V	(VP*
             it	       PRP	      S-NP	         O	              -	  E-AM-PNC	      S-A1	(NP*)))))
              '	        ''	         O	         O	              -	         O	         O	*)))

           Dion	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(S(NP*
         Stokes	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	*
        playing	       VBG	      E-VP	         O	        playing	       S-V	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
           game	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
         mobile	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
          phone	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
          early	        JJ	      B-NP	         O	              -	  B-AM-TMP	         O	*
      Wednesday	       NNP	      E-NP	         O	              -	  E-AM-TMP	         O	(NP*)
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	         O	(WHADVP*)
        gunfire	        NN	      S-NP	         O	              -	  I-AM-TMP	      S-A1	(NP*)
        erupted	       VBD	      S-VP	         O	        erupted	  I-AM-TMP	       S-V	*
           near	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           Side	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           home	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
         Austin	       NNP	      I-NP	     S-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*))))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(S(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A1	         O	(NP*)
            got	       VBD	      S-VP	         O	            got	       B-V	         O	(VP*
           down	        RB	    S-ADVP	         O	              -	       E-V	         O	(ADVP*)))
              ,	         ,	         O	         O	              -	         O	         O	*
              "	        FW	      B-NP	         O	              -	         O	         O	(NP*
         Stokes	       NNP	      E-NP	     S-PER	              -	         O	      S-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              "	        LS	         O	         O	              -	         O	(S1(X(X*)
         Street	       NNP	      E-NP	     E-LOC	              -	         O	         O	*))))
           when	       WRB	    S-ADVP	         O	              -	         O	         O	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(S(NP*
        shooter	        NN	      E-NP	         O	              -	      E-A1	         O	*)
     approached	       VBD	      S-VP	         O	     approached	       S-V	         O	(VP(VP*
           them	       PRP	      S-NP	         O	              -	      S-A2	         O	(NP*))
            and	        CC	         O	         O	              -	         O	         O	*
         opened	       VBD	      S-VP	         O	         opened	         O	       S-V	(VP*
           fire	        NN	      S-NP	         O	              -	         O	      S-A1	(NP*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*))))))))))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
           teen	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	(UCP(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          chest	        NN	      E-NP	         O	              -	  I-AM-LOC	*)))
            and	        CC	         O	         O	              -	  I-AM-LOC	*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
            leg	        NN	      E-NP	         O	              -	  E-AM-LOC	*)))
              .	         .	         O	         O	              -	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	         O	(S1(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	         O	(PP*
        Stroger	       NNP	      B-NP	     B-LOC	              -	      I-A2	  B-AM-LOC	(NP(NP*
       Hospital	       NNP	      E-NP	     E-LOC	              -	      I-A2	  E-AM-LOC	*)
              ,	         ,	         O	         O	              -	      I-A2	         O	*
          where	       WRB	    S-ADVP	         O	              -	      I-A2	S-R-AM-LOC	(SBAR(WHADVP*)
             he	       PRP	      S-NP	         O	              -	      I-A2	      S-A1	(S(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A2	         O	(VP*
     pronounced	       VBN	      E-VP	         O	     pronounced	      I-A2	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      I-A2	      S-A2	(S(ADJP*)
             at	        IN	      S-PP	         O	              -	      I-A2	  B-AM-TMP	(PP*
          11:21	        CD	      B-NP	         O	              -	      I-A2	  I-AM-TMP	(NP*
           p.m.	        NN	      E-NP	         O	              -	      E-A2	  E-AM-TMP	*)))))))))))))

             He	       PRP	      S-NP	         O	              -	      S-A1	         O	(S1(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	       S-V	         O	(VP*
             as	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
         Ronnie	       NNP	      B-NP	     B-PER	              -	  I-AM-TMP	         O	(NP(NP*
          Smith	       NNP	      I-NP	     I-PER	              -	  I-AM-TMP	         O	*
            Jr.	       NNP	      E-NP	     E-PER	              -	  I-AM-TMP	         O	*)
              ,	         ,	         O	         O	              -	  I-AM-TMP	         O	*
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP(NP*
           same	        JJ	      I-NP	         O	              -	  I-AM-TMP	         O	*
          block	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	*)
          where	       WRB	    S-ADVP	         O	              -	  I-AM-TMP	         O	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	(S(NP*
       shooting	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A1	*)
           took	       VBD	      S-VP	         O	           took	  I-AM-TMP	       S-V	(VP*
          place	        NN	      S-NP	         O	              -	  I-AM-TMP	      S-A2	(NP*))))))))
              ,	         ,	         O	         O	              -	  I-AM-TMP	         O	*
      according	       VBG	      S-PP	         O	              -	  I-AM-TMP	         O	(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP(NP*
           Cook	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	         O	*
         County	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	         O	*
        medical	        JJ	      I-NP	         O	              -	  I-AM-TMP	         O	*
       examiner	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	*
             's	       POS	      B-NP	         O	              -	  I-AM-TMP	         O	*)
         office	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	*
              .	         .	         O	         O	              -	  I-AM-TMP	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	  E-AM-TMP	         O	*)))))))

            The	        DT	      B-NP	         O	              -	      B-A1	         O	(S1(S(S(NP*
          older	       JJR	      I-NP	         O	              -	      I-A1	         O	*
            man	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
          right	        JJ	      I-NP	         O	              -	  I-AM-TMP	         O	*
            leg	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	*
            his	      PRP$	      B-NP	         O	              -	         O	      B-A1	(S(NP*
      condition	        NN	      E-NP	         O	              -	         O	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
     stabilized	       VBN	      E-VP	         O	     stabilized	         O	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	         O	  B-AM-LOC	(PP*
            St.	       NNP	      B-NP	     B-LOC	              -	         O	  I-AM-LOC	(NP*
        Bernard	       NNP	      I-NP	     I-LOC	              -	         O	  I-AM-LOC	*
       Hospital	       NNP	      E-NP	     E-LOC	              -	         O	  I-AM-LOC	*
              .	         .	         O	         O	              -	         O	  I-AM-LOC	*
        NEWLINE	       NNP	         O	     S-LOC	              -	         O	  E-AM-LOC	*)))))))

             No	        DT	      B-NP	         O	              -	(S1(S(NP*
            one	        CD	      E-NP	         O	              -	*)
            was	       VBD	      S-VP	         O	              -	(VP*
             in	        IN	      S-PP	         O	              -	(PP*
        custody	        NN	      S-NP	         O	              -	(NP*))
             in	        IN	      S-PP	         O	              -	(PP*
            the	        DT	      B-NP	         O	              -	(NP*
       shooting	        NN	      I-NP	         O	              -	*)))
              .	         .	      I-NP	         O	              -	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	(NP*)))

       Officers	       NNS	      B-NP	         O	              -	      B-A0	         O	(S1(S(NP*
            and	        CC	      I-NP	         O	              -	      I-A0	         O	*
     detectives	       NNS	      E-NP	         O	              -	      E-A0	         O	*)
       searched	       VBD	      S-VP	         O	       searched	       S-V	         O	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
        stretch	        NN	      E-NP	         O	              -	      I-A1	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A2	(NP(NP*
          alley	        NN	      E-NP	         O	              -	      I-A1	      E-A2	*)
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A2	(SBAR(WHNP*)
       included	       VBD	      S-VP	         O	       included	      I-A1	       S-V	(S(VP*
          about	        IN	      B-NP	         O	              -	      I-A1	      B-A1	(NP(QP*
          three	        CD	      I-NP	         O	              -	      I-A1	      I-A1	*)
        garages	       NNS	      E-NP	         O	              -	      E-A1	      E-A1	*))))))))
              .	         .	         O	         O	              -	         O	         O	*))

             At	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	(S1(X(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	(NP(NP*
           edge	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	         O	         O	         O	(NP*
          crime	        NN	      I-NP	         O	              -	         O	         O	         O	         O	         O	*
          scene	        NN	      E-NP	         O	              -	         O	         O	         O	         O	         O	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	*
              a	        DT	      B-NP	         O	              -	      B-A0	         O	      B-A0	      B-A0	         O	(NP(NP*
            man	        NN	      E-NP	         O	              -	      E-A0	         O	      I-A0	      I-A0	         O	*)
            who	        WP	      S-NP	         O	              -	    S-R-A0	         O	      I-A0	      I-A0	         O	(SBAR(WHNP*)
          lives	       VBZ	      S-VP	         O	          lives	       S-V	         O	      I-A0	      I-A0	         O	(S(VP*
         around	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	      I-A0	      I-A0	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	      I-A0	      I-A0	         O	(NP*
         corner	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	      I-A0	      I-A0	         O	*)
           from	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	      I-A0	      I-A0	         O	(PP*
          where	       WRB	    S-ADVP	         O	              -	  I-AM-LOC	         O	      I-A0	      I-A0	         O	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A1	      I-A0	      I-A0	         O	(S(NP*
       shooting	        NN	      E-NP	         O	              -	  E-AM-LOC	      E-A1	      I-A0	      E-A0	         O	*)
           took	       VBD	      S-VP	         O	           took	         O	       S-V	      I-A0	         O	         O	(VP*
          place	        NN	      S-NP	         O	              -	         O	      B-A2	      E-A0	         O	         O	(SBAR(S(NP*)
        stopped	       VBN	      S-VP	         O	        stopped	         O	      E-A2	       S-V	         O	         O	(VP*
             by	        IN	      S-PP	         O	              -	         O	  B-AM-TMP	         O	         O	         O	(PP*)
          after	        IN	    S-SBAR	         O	              -	         O	  I-AM-TMP	         O	         O	         O	(PP*
           work	        NN	      S-NP	         O	              -	         O	  I-AM-TMP	         O	         O	         O	(NP*))
             to	        TO	      B-VP	         O	              -	         O	  I-AM-TMP	         O	         O	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	         O	  I-AM-TMP	         O	       S-V	         O	(VP*
           what	        WP	      S-NP	         O	              -	         O	  I-AM-TMP	         O	      B-A1	    S-R-A1	(SBAR(WHNP*)
       happened	       VBD	      S-VP	         O	       happened	         O	  I-AM-TMP	         O	      E-A1	       S-V	(S(VP*))))))))))))))))))
              .	         .	         O	         O	              -	         O	  I-AM-TMP	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	  E-AM-TMP	         O	      S-A0	         O	(NP*)))

              "	        ``	         O	         O	              -	         O	         O	         O	         O	(S1(X(NP*)
           That	        DT	      S-NP	         O	              -	      S-A1	         O	         O	         O	(SBAR(S(NP*)
             's	       VBZ	      B-VP	         O	              -	         O	         O	         O	         O	(VP*
         messed	       VBN	      E-VP	         O	         messed	       B-V	         O	         O	         O	(VP*
             up	        RP	     S-PRT	         O	              -	       E-V	         O	         O	         O	(ADVP*)))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
              "	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	(ADVP*
             he	       PRP	      S-NP	         O	              -	         O	      S-A0	         O	         O	(SBAR(S(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	         O	         O	(VP*
             as	        IN	    S-SBAR	         O	              -	         O	  B-AM-TMP	         O	         O	(SBAR*
             he	       PRP	      S-NP	         O	              -	         O	  I-AM-TMP	      S-A0	      S-A0	(S(NP*)
         smoked	       VBD	      S-VP	         O	         smoked	         O	  I-AM-TMP	       S-V	         O	(VP(VP*
              a	        DT	      B-NP	         O	              -	         O	  I-AM-TMP	      B-A1	         O	(NP*
      cigarette	        NN	      E-NP	         O	              -	         O	  I-AM-TMP	      E-A1	         O	*))
            and	        CC	         O	         O	              -	         O	  I-AM-TMP	         O	         O	*
         looked	       VBD	      S-VP	         O	         looked	         O	  I-AM-TMP	         O	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	         O	  I-AM-TMP	         O	      B-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	  I-AM-TMP	         O	      I-A1	(NP*
          crime	        NN	      I-NP	         O	              -	         O	  I-AM-TMP	         O	      I-A1	*
          scene	        NN	      E-NP	         O	              -	         O	  E-AM-TMP	         O	      E-A1	*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	         O	(NP*)))

             In	        IN	      S-PP	         O	              -	  B-AM-LOC	      B-A1	(S1(S(PP*
          other	        JJ	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
      shootings	       NNS	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*))
              :	         :	         O	         O	              -	  I-AM-LOC	      I-A1	*
        NEWLINE	        NN	      S-NP	     S-ORG	              -	  I-AM-LOC	      I-A1	(S(NP(NP(NP*)
             In	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	      I-A1	*)
       Humboldt	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Park	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        34-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
            leg	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*))
          about	        IN	      S-PP	         O	              -	  B-AM-TMP	      I-A1	(PP*
           4:10	        CD	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
           a.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*))
      Wednesday	       NNP	      S-NP	         O	              -	  S-AM-TMP	      I-A1	(NP*)
          while	        IN	    S-SBAR	         O	              -	  B-AM-TMP	      I-A1	(SBAR*
             he	       PRP	      S-NP	         O	              -	  I-AM-TMP	      I-A1	(S(NP*)
            was	       VBD	      S-VP	         O	              -	  I-AM-TMP	      I-A1	(VP*
        outside	        JJ	    S-ADJP	         O	              -	  I-AM-TMP	      I-A1	(ADJP*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP(NP*
           2500	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	  I-AM-TMP	      I-A1	(NP*
         Cortez	       NNP	      I-NP	     I-LOC	              -	  I-AM-TMP	      I-A1	*
         Street	       NNP	      E-NP	     E-LOC	              -	  E-AM-TMP	      E-A1	*)))))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	      B-A1	(S1(S(NP*
        shooter	        NN	      E-NP	         O	              -	      E-A0	      E-A1	*)
         pulled	       VBD	      S-VP	         O	         pulled	       B-V	         O	(VP(VP*
            out	        RP	     S-PRT	         O	              -	       E-V	         O	(ADVP*)
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
            gun	        NN	      E-NP	         O	              -	      E-A1	         O	*))
            and	        CC	         O	         O	              -	         O	         O	*
          fired	       VBD	      S-VP	         O	          fired	         O	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	         O	  B-AM-LOC	(PP*
            him	       PRP	      S-NP	         O	              -	         O	  E-AM-LOC	(NP*))))
              .	         .	         O	         O	              -	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	         O	(S1(S(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	         O	(PP*
       Presence	       NNP	      B-NP	         O	              -	      I-A2	         O	(NP(NP*
         Saints	       NNP	      I-NP	     B-PER	              -	      I-A2	         O	*
           Mary	       NNP	      I-NP	     E-PER	              -	      I-A2	         O	*)
            and	        CC	      I-NP	         O	              -	      I-A2	         O	*
      Elizabeth	       NNP	      I-NP	     B-ORG	              -	      I-A2	         O	(NP*
        Medical	       NNP	      I-NP	     I-ORG	              -	      I-A2	         O	*
         Center	       NNP	      E-NP	     E-ORG	              -	      E-A2	         O	*))))))
              ,	         ,	         O	         O	              -	         O	         O	*
            and	        CC	         O	         O	              -	         O	         O	*
             he	       PRP	      S-NP	         O	              -	         O	      S-A1	(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
          later	        RB	      I-VP	         O	              -	         O	  S-AM-TMP	(ADVP*)
    transferred	       VBN	      E-VP	         O	    transferred	         O	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	         O	      B-A2	(PP*
        Stroger	       NNP	      B-NP	     B-ORG	              -	         O	      I-A2	(NP*
       Hospital	       NNP	      E-NP	     E-ORG	              -	         O	      I-A2	*
              .	         .	         O	         O	              -	         O	      I-A2	*
        NEWLINE	       NNP	         O	     S-LOC	              -	         O	      E-A2	*)))))))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	      B-A1	(S1(S(S(S(NP(NP(NP*
           9:55	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
        Tuesday	       NNP	      S-NP	         O	              -	  S-AM-TMP	      I-A1	(NP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
             's	       POS	      B-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*)
       Lawndale	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        22-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*)
            man	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
          right	        JJ	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
       shoulder	        NN	      E-NP	         O	              -	  E-AM-LOC	      I-A1	*))
          while	        IN	    S-SBAR	         O	              -	  B-AM-TMP	      I-A1	(SBAR*
             he	       PRP	      S-NP	         O	              -	  I-AM-TMP	      I-A1	(S(NP*)
            was	       VBD	      S-VP	         O	              -	  I-AM-TMP	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP(NP*
           1500	        CD	      I-NP	         O	              -	  I-AM-TMP	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	  I-AM-TMP	      I-A1	(NP*
       Lawndale	       NNP	      I-NP	     I-LOC	              -	  I-AM-TMP	      I-A1	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-TMP	      E-A1	*))))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	*
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*))

            His	      PRP$	      B-NP	         O	              -	      B-A1	(S1(S(NP*
      condition	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
     stabilized	       VBN	      E-VP	         O	     stabilized	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
        Stroger	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
       Hospital	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A0	         O	      B-A1	(S1(S(S(S(NP*)
            did	       VBD	      B-VP	         O	              -	         O	         O	      I-A1	(VP*
            not	        RB	      I-VP	         O	              -	  S-AM-NEG	         O	      I-A1	*
           give	        VB	      E-VP	         O	           give	       S-V	         O	      I-A1	(VP*
       officers	       NNS	      B-NP	         O	              -	      S-A2	         O	      I-A1	(NP*)
     additional	        JJ	      I-NP	         O	              -	      B-A1	         O	      I-A1	(NP(NP*
        details	       NNS	      E-NP	         O	              -	      I-A1	         O	      I-A1	*)
          about	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	(PP*
           what	        WP	      S-NP	         O	              -	      I-A1	    S-R-A1	      I-A1	(SBAR(WHNP*)
       happened	       VBD	      S-VP	         O	       happened	      I-A1	       S-V	      E-A1	(S(VP*))))))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	*
         police	       NNS	      S-NP	         O	              -	      I-A1	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	      I-A1	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	      I-A1	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	         O	       S-V	(NP*)))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	         O	(S1(S(S(NP(NP*
           7:15	        CD	      I-NP	         O	              -	  I-AM-TMP	         O	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
      Southwest	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	         O	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(NP*
        40-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
